Topic,Description
"Local Government","News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss the members and actions of a local government, including mayors and mayoral candidates, town boards, and town or county councils."
"Economy & Budget", "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss the finances and economy of a municipality."
"Planning & Development", "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss planning, zoning or municipal development."
Housing, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss housing, including affordable housing, homelessness and new housing developments."
Transportation, Infrastructure & Public Works, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss transportation, infrastructure or public works at the municipal level, including public transportation, roads and bridges, and public sewer, electricity and water services."
"Public Safety & Crime", "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss public safety, municipal crime, local police or legal cases."
"Arts & Society", "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss local community and culture, including restaurants, performances, art, music, fairs and other public events."
Education, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss primary or secondary education at the local level, including municipal school systems, curricula and funding."
Environment, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss environmental topics, including pollution, ecosystems, conservation and the Chesapeake Bay."
Community Outreach, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss municipal social programs, including food drives, vaccination drives, free mental health screenings and other public benefit initiatives."
Elections, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss local elections, including mayoral elections, town or county council elections and town or county board elections."
Agriculture, "News articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss local agriculture and aquaculture, including fishing, crabbing and farming."
Sports, "Articles, excluding obituaries, legal notices, calendars, columns and editorials, that center around and primarily discuss local sports, including youth sports, high school sports and athletic infrastructure."
Other, "Obituaries, legal notices, calendars, columns, editorials and any articles that do not otherwise fall under a defined topic."
